paperID;criterionID2;criterionName
Almroth2020_CRATE;E.19;Security
Almroth2020_CRATE;LO.2;Offensive security skills
Almroth2020_CRATE;LO.4;Defensive security skills
Almroth2020_CRATE;S.6;Immediate feedback for trainees
Almroth2020_CRATE;T.1;Diversity of different teams
Arshad2021_AttackSpecificationLanguage;MG.3;Structured scenario creation
Arshad2021_AttackSpecificationLanguage;S.5;Adaptability of difficulty
Bernardinetti2021_Nautilus;E.18;Reusability of scenario (components)
Bernardinetti2021_Nautilus;E.19;Security
Bernardinetti2021_Nautilus;E.2;Automated deployment
Bernardinetti2021_Nautilus;LO.2;Offensive security skills
Bernardinetti2021_Nautilus;MG.10;Collaboration between different cyber ranges
Bernardinetti2021_Nautilus;MG.2;Structured deployment
Bernardinetti2021_Nautilus;MG.3;Structured scenario creation
Bernardinetti2021_Nautilus;MO.1;Automated monitoring (infrastructure)
Beuran2018_Cytrone;E.14;Performance
Beuran2018_Cytrone;E.18;Reusability of scenario (components)
Beuran2018_Cytrone;LO.10;Teaming/collaboration skills
Beuran2018_Cytrone;LO.2;Offensive security skills
Beuran2018_Cytrone;LO.4;Defensive security skills
Beuran2018_Cytrone;LO.5;Forensic skills
Beuran2018_Cytrone;MG.1;Cost-efficiency
Beuran2018_Cytrone;MG.3;Structured scenario creation
Beuran2018_Cytrone;MG.8;Automation of orchestration
Beuran2018_Cytrone;MG.9;Automation of training content generation
Beuran2018_Cytrone;S.2;Currency
Beuran2019_RealisticCybersecurityManagement;E.14;Performance
Beuran2019_RealisticCybersecurityManagement;E.17;Reproducibility of scenario
Beuran2019_RealisticCybersecurityManagement;LO.2;Offensive security skills
Beuran2019_RealisticCybersecurityManagement;LO.4;Defensive security skills
Beuran2019_RealisticCybersecurityManagement;LO.5;Forensic skills
Beuran2019_RealisticCybersecurityManagement;MG.5;Technical complexity of orchestration
Beuran2019_RealisticCybersecurityManagement;MG.9;Automation of training content generation
Braghin2020_TowardsTheMonitoring;MO.2;Automated monitoring (trainees)
Braghin2020_TowardsTheMonitoring;MO.3;Sophistication of trainee scoring
Caturano2020_CapturingFlags;E.12;Modularity
Caturano2020_CapturingFlags;E.14;Performance
Caturano2020_CapturingFlags;E.15;Portability
Caturano2020_CapturingFlags;E.17;Reproducibility of scenario
Caturano2020_CapturingFlags;LO.1;Offensive security knowledge
Caturano2020_CapturingFlags;MG.2;Structured deployment
Caturano2020_CapturingFlags;MG.4;Variety of training scenarios
Debatty2019_CyberDefenseSituationalAwareness;E.16;Scalability
Debatty2019_CyberDefenseSituationalAwareness;E.5;Compatibility with standard technologies
Debatty2019_CyberDefenseSituationalAwareness;E.8;Fidelity of simulation/emulation
Debatty2019_CyberDefenseSituationalAwareness;LI.2;Projection of skills to real-world scenarios
Debatty2019_CyberDefenseSituationalAwareness;LO.10;Teaming/collaboration skills
Debatty2019_CyberDefenseSituationalAwareness;LO.9;Skills for coping with stressful situations
Debatty2019_CyberDefenseSituationalAwareness;MG.3;Structured scenario creation
Debatty2019_CyberDefenseSituationalAwareness;S.6;Immediate feedback for trainees
Deckard2018_Cybertropolis;E.8;Fidelity of simulation/emulation
Deckard2018_Cybertropolis;LO.10;Teaming/collaboration skills
Fenton2019_IntegratingCyberRangeTechnologies;LE.2;Engagement of trainees
Fenton2019_IntegratingCyberRangeTechnologies;LI.1;Willingness for continuous education and training
Fenton2019_IntegratingCyberRangeTechnologies;LO.2;Offensive security skills
Fenton2019_IntegratingCyberRangeTechnologies;MG.1;Cost-efficiency
Ficco2019_Leaf;E.16;Scalability
Ficco2019_Leaf;E.8;Fidelity of simulation/emulation
Ficco2019_Leaf;LO.4;Defensive security skills
Ficco2019_Leaf;MG.1;Cost-efficiency
Ficco2019_Leaf;MG.4;Variety of training scenarios
Ficco2019_Leaf;S.4;Customizability
Gustafsson2021_CRATE;E.2;Automated deployment
Gustafsson2021_CRATE;MG.7;Automation of event generation
Gustafsson2021_CRATE;MO.2;Automated monitoring (trainees)
Hatzivasilis2021_ThreatArrest;LE.2;Engagement of trainees
Hatzivasilis2021_ThreatArrest;LE.4;Appropriate difficulty
Hatzivasilis2021_ThreatArrest;LI.2;Projection of skills to real-world scenarios
Hatzivasilis2021_ThreatArrest;LI.3;Long-term change in behavior
Hatzivasilis2021_ThreatArrest;LO.2;Offensive security skills
Hatzivasilis2021_ThreatArrest;LO.4;Defensive security skills
Hatzivasilis2021_ThreatArrest;S.3;Alignment with certification requirements
Jacq2021_CyberMAR;E.8;Fidelity of simulation/emulation
Jacq2021_CyberMAR;LO.2;Offensive security skills
Jacq2021_CyberMAR;LO.6;Security awareness
Karjalainen2020_CyberArena;E.11;Isolation
Karjalainen2020_CyberArena;E.19;Security
Karjalainen2020_CyberArena;E.8;Fidelity of simulation/emulation
Karjalainen2020_CyberArena;MG.10;Collaboration between different cyber ranges
Karjalainen2020_CyberArena;S.4;Customizability
Karjalainen2020_CyberArena;S.6;Immediate feedback for trainees
Kucek2020_HumanInTheLoop;E.1;Accessibility
Kucek2020_HumanInTheLoop;LO.10;Teaming/collaboration skills
Kucek2020_HumanInTheLoop;LO.11;Decision-making skills
Kucek2020_HumanInTheLoop;LO.2;Offensive security skills
Kucek2020_HumanInTheLoop;LO.6;Security awareness
Kucek2020_HumanInTheLoop;LO.8;Non-security related skills
Larrucea2020_ICSBasedScenarioGenerator;E.2;Automated deployment
Larrucea2020_ICSBasedScenarioGenerator;LO.2;Offensive security skills
Larrucea2020_ICSBasedScenarioGenerator;MG.1;Cost-efficiency
Leitner2020_AITCyberRange;E.12;Modularity
Leitner2020_AITCyberRange;E.13;Open source availability
Leitner2020_AITCyberRange;LO.4;Defensive security skills
Leitner2020_AITCyberRange;LO.5;Forensic skills
Leitner2020_AITCyberRange;LO.6;Security awareness
Leitner2020_AITCyberRange;MG.2;Structured deployment
Leitner2020_AITCyberRange;S.4;Customizability
Mahmoud2021_DeAtt;E.16;Scalability
Mahmoud2021_DeAtt;E.2;Automated deployment
Mahmoud2021_DeAtt;LE.2;Engagement of trainees
Mahmoud2021_DeAtt;MO.4;Visibility
Nakata2021_CyExec;E.12;Modularity
Nakata2021_CyExec;E.14;Performance
Nakata2021_CyExec;E.15;Portability
Nakata2021_CyExec;E.17;Reproducibility of scenario
Nakata2021_CyExec;E.19;Security
Nakata2021_CyExec;MG.4;Variety of training scenarios
Oikonomou2021_ECHOFederated;E.16;Scalability
Oikonomou2021_ECHOFederated;MG.1;Cost-efficiency
Oikonomou2021_ECHOFederated;MG.10;Collaboration between different cyber ranges
Orbinate2021_CRaaS;E.16;Scalability
Orbinate2021_CRaaS;E.8;Fidelity of simulation/emulation
Orbinate2021_CRaaS;MG.2;Structured deployment
Orbinate2021_CRaaS;MG.3;Structured scenario creation
Orbinate2021_CRaaS;MO.2;Automated monitoring (trainees)
Orbinate2021_CRaaS;T.2;Dynamic teaming roles configuration
Oslejsek2018_EvaluationOfCyberDefenseExercises;E.14;Performance
Oslejsek2018_EvaluationOfCyberDefenseExercises;E.4;Reliability
Oslejsek2018_EvaluationOfCyberDefenseExercises;E.8;Fidelity of simulation/emulation
Oslejsek2018_EvaluationOfCyberDefenseExercises;LE.2;Engagement of trainees
Oslejsek2018_EvaluationOfCyberDefenseExercises;LE.4;Appropriate difficulty
Oslejsek2018_EvaluationOfCyberDefenseExercises;LO.10;Teaming/collaboration skills
Oslejsek2018_EvaluationOfCyberDefenseExercises;LO.4;Defensive security skills
Oslejsek2018_EvaluationOfCyberDefenseExercises;LO.9;Skills for coping with stressful situations
Oslejsek2018_EvaluationOfCyberDefenseExercises;T.3;Balance of skills among teams
Peratikou2021_OnFederated;E.14;Performance
Peratikou2021_OnFederated;E.16;Scalability
Peratikou2021_OnFederated;E.19;Security
Peratikou2021_OnFederated;E.4;Reliability
Peratikou2021_OnFederated;MG.4;Variety of training scenarios
Peratikou2021_OnFederated;MO.1;Automated monitoring (infrastructure)
Pham2016_CyRIS;E.14;Performance
Pham2016_CyRIS;E.2;Automated deployment
Pham2016_CyRIS;MG.8;Automation of orchestration
Pham2016_CyRIS;MG.9;Automation of training content generation
Pham2016_CyRIS;MG.6;Automation of attacks
Pihelgas2021_Frankenstack;LO.2;Offensive security skills
Pihelgas2021_Frankenstack;MO.2;Automated monitoring (trainees)
Pihelgas2021_Frankenstack;S.6;Immediate feedback for trainees
Pihelgas2021_Frankenstack;S.6;Immediate feedback for trainees
Potamos2021_MaritimeCyberRange;E.16;Scalability
Potamos2021_MaritimeCyberRange;E.8;Fidelity of simulation/emulation
Potamos2021_MaritimeCyberRange;E.9;Fidelity of tools
Potamos2021_MaritimeCyberRange;LO.2;Offensive security skills
Potamos2021_MaritimeCyberRange;LO.4;Defensive security skills
Puys2021_HardwareInTheLoop;E.8;Fidelity of simulation/emulation
Puys2021_HardwareInTheLoop;LO.2;Offensive security skills
Puys2021_HardwareInTheLoop;LO.4;Defensive security skills
Puys2021_HardwareInTheLoop;LO.6;Security awareness
Puys2021_HardwareInTheLoop;LO.7;Non-security related knowledge
Puys2021_HardwareInTheLoop;LO.8;Non-security related skills
Raybourn2018_ZeroEntry;E.13;Open source availability
Raybourn2018_ZeroEntry;E.16;Scalability
Raybourn2018_ZeroEntry;E.18;Reusability of scenario (components)
Raybourn2018_ZeroEntry;E.19;Security
Raybourn2018_ZeroEntry;E.8;Fidelity of simulation/emulation
Raybourn2018_ZeroEntry;LE.1;Suitability for target group
Raybourn2018_ZeroEntry;LO.2;Offensive security skills
Raybourn2018_ZeroEntry;LO.4;Defensive security skills
Raybourn2018_ZeroEntry;LO.5;Forensic skills
Raybourn2018_ZeroEntry;MG.2;Structured deployment
Roberts2021_CybersecurityTestRange;E.17;Reproducibility of scenario
Roberts2021_CybersecurityTestRange;E.8;Fidelity of simulation/emulation
Roberts2021_CybersecurityTestRange;MG.1;Cost-efficiency
Roberts2021_CybersecurityTestRange;MG.4;Variety of training scenarios
Russo2020_Crack;E.12;Modularity
Russo2020_Crack;E.16;Scalability
Russo2020_Crack;E.18;Reusability of scenario (components)
Russo2020_Crack;E.2;Automated deployment
Russo2020_Crack;E.3;Automated testing
Russo2020_Crack;E.5;Compatibility with standard technologies
Russo2020_Crack;E.6;Extensibility
Russo2020_Crack;E.8;Fidelity of simulation/emulation
Russo2020_Crack;LO.2;Offensive security skills
Russo2020_Crack;MG.3;Structured scenario creation
Smyrlis2020_ProgrammeSpecification;E.2;Automated deployment
Smyrlis2020_ProgrammeSpecification;LE.1;Suitability for target group
Smyrlis2020_ProgrammeSpecification;LO.11;Decision-making skills
Smyrlis2020_ProgrammeSpecification;LO.4;Defensive security skills
Smyrlis2020_ProgrammeSpecification;MG.3;Structured scenario creation
Smyrlis2020_ProgrammeSpecification;S.4;Customizability
Somarakis2020_ModelDriven;E.16;Scalability
Somarakis2020_ModelDriven;E.7;Fidelity of attacks
Somarakis2020_ModelDriven;E.8;Fidelity of simulation/emulation
Somarakis2020_ModelDriven;LO.4;Defensive security skills
Somarakis2020_ModelDriven;S.4;Customizability
supp;E.20;Privacy
supp;LI.4;Organizational impact
supp;LI.5;Societal impact
Tang2017_InteractiveCybersecurityDefense;E.1;Accessibility
Tang2017_InteractiveCybersecurityDefense;E.2;Automated deployment
Tang2017_InteractiveCybersecurityDefense;LE.3;Appropriate duration
Tang2017_InteractiveCybersecurityDefense;LE.5;Clarity of tasks
Tang2017_InteractiveCybersecurityDefense;LO.6;Security awareness
Tang2017_InteractiveCybersecurityDefense;MG.6;Automation of attacks
Tang2017_InteractiveCybersecurityDefense;S.1;Relevance
Tian2018_RealTimeCorrelation;E.14;Performance
Tian2018_RealTimeCorrelation;E.8;Fidelity of simulation/emulation
Tian2018_RealTimeCorrelation;LO.2;Offensive security skills
Tian2018_RealTimeCorrelation;LO.5;Forensic skills
Vakaruk2021_DigitalTwin5G;E.15;Portability
Vakaruk2021_DigitalTwin5G;E.16;Scalability
Vakaruk2021_DigitalTwin5G;E.17;Reproducibility of scenario
Vakaruk2021_DigitalTwin5G;E.8;Fidelity of simulation/emulation
Vakaruk2021_DigitalTwin5G;MG.4;Variety of training scenarios
Vakaruk2021_DigitalTwin5G;MG.6;Automation of attacks
Vekaria2021_CyberRangeForResearchInspired;E.1;Accessibility
Vekaria2021_CyberRangeForResearchInspired;E.6;Extensibility
Vekaria2021_CyberRangeForResearchInspired;E.7;Fidelity of attacks
Vekaria2021_CyberRangeForResearchInspired;E.8;Fidelity of simulation/emulation
Vekaria2021_CyberRangeForResearchInspired;LO.4;Defensive security skills
Vekaria2021_CyberRangeForResearchInspired;MG.2;Structured deployment
Vekaria2021_CyberRangeForResearchInspired;MG.4;Variety of training scenarios
Vielberth2021_DigitalTwinBasedCyberRange;E.1;Accessibility
Vielberth2021_DigitalTwinBasedCyberRange;E.12;Modularity
Vielberth2021_DigitalTwinBasedCyberRange;E.9;Fidelity of tools
Vielberth2021_DigitalTwinBasedCyberRange;LE.2;Engagement of trainees
Vielberth2021_DigitalTwinBasedCyberRange;LO.1;Offensive security knowledge
Vielberth2021_DigitalTwinBasedCyberRange;LO.3;Defensive security knowledge
Vielberth2021_DigitalTwinBasedCyberRange;LO.4;Defensive security skills
Vielberth2021_DigitalTwinBasedCyberRange;MG.6;Automation of attacks
Vykopal2017_LessonsLearned;E.1;Accessibility
Vykopal2017_LessonsLearned;E.11;Isolation
Vykopal2017_LessonsLearned;E.13;Open source availability
Vykopal2017_LessonsLearned;LE.1;Suitability for target group
Vykopal2017_LessonsLearned;LE.2;Engagement of trainees
Vykopal2017_LessonsLearned;LO.2;Offensive security skills
Vykopal2017_LessonsLearned;LO.4;Defensive security skills
Vykopal2017_LessonsLearned;MG.1;Cost-efficiency
Vykopal2017_LessonsLearned;MG.6;Automation of attacks
Vykopal2017_LessonsLearned;S.6;Immediate feedback for trainees
Vykopal2017_LessonsLearned;S.6;Immediate feedback for trainees
Vykopal2017_LessonsLearned;T.3;Balance of skills among teams
Vykopal2021_ScalableLearningEnv;E.1;Accessibility
Vykopal2021_ScalableLearningEnv;E.10;Independence from deployment infrastructure
Vykopal2021_ScalableLearningEnv;E.16;Scalability
Vykopal2021_ScalableLearningEnv;E.18;Reusability of scenario (components)
Vykopal2021_ScalableLearningEnv;MG.3;Structured scenario creation
Vykopal2021_ScalableLearningEnv;MO.4;Visibility
Yamin2021_SeriousGames;LO.11;Decision-making skills
Yamin2021_SeriousGames;LO.2;Offensive security skills
Yamin2021_SeriousGames;LO.4;Defensive security skills
Yamin2021_SeriousGames;LO.5;Forensic skills
Yonemura2021_CybersecurityTeachingExpert;LO.2;Offensive security skills
Yonemura2021_CybersecurityTeachingExpert;LO.4;Defensive security skills
Yonemura2021_CybersecurityTeachingExpert;MG.11;Collaboration with the industry
Zanasi2021_ECHO;E.12;Modularity
Zanasi2021_ECHO;E.18;Reusability of scenario (components)
Zanasi2021_ECHO;MG.10;Collaboration between different cyber ranges
Zanasi2021_ECHO;MG.2;Structured deployment
